"Code AGB","Code CIQUAL","Groupe d'aliment","Sous-groupe d'aliment","Nom du Produit en Français","LCI Name","code saison","code avion","Livraison","Matériau d'emballage","Préparation","DQR","Score unique EF","Changement climatique","Appauvrissement de la couche d'ozone","Rayonnements ionisants","Formation photochimique d'ozone","Particules fines","Effets toxicologiques sur la santé humaine : substances non-cancérogènes","Effets toxicologiques sur la santé humaine : substances cancérogènes","Acidification terrestre et eaux douces","Eutrophisation eaux douces","Eutrophisation marine","Eutrophisation terrestre","Écotoxicité pour écosystèmes aquatiques d'eau douce","Utilisation du sol","Épuisement des ressources eau","Épuisement des ressources énergétiques","Épuisement des ressources minéraux"
"13002",13002,"fruits, légumes, légumineuses et oléagineux","fruits","Ananas, pulpe, cru","Pineapple, pulp, raw","2",0,"Ambiant (moyen)","Pas d'emballage","Pas de préparation",2.68,0.17883944999999998,1.2922821,1.6964724e-7,0.070971953,0.0067186578,6.9532853e-8,2.3470933e-7,1.7645015e-9,0.010433889,0.00030474327,0.01040464,0.033275131,43.834004,33.432993,0.60808554,12.271632,0.000008191523
"20581",20581,"fruits, légumes, légumineuses et oléagineux","fruits à coque et graines oléagineuses","Arachide, bouillie/cuite à l'eau, salée","Peanut, boiled/cooked in water, w salt","2",0,"Ambiant (long)","LDPE","Micro-onde",3.53,0.5872776900000001,4.253046,2.0390347e-7,0.27030095,0.010144035,4.4623849e-7,9.9557372e-8,4.5797982e-9,0.064516183,0.0012447936,0.040351231,0.27833629,25.8719741,536.05384,4.9889845,24.851586,0.0000198892
"20067",20067,"fruits, légumes, légumineuses et oléagineux","légumes","Artichaut, appertisé, égoutté","Artichoke, canned, drained","2",0,"Ambiant (long)","Acier","Pas de préparation",2.78,0.18886892,1.8404875,2.1358592e-7,0.2674794,0.0061977315,1.3499775e-7,3.1634036e-8,2.7009939e-9,0.014405139,0.00032348621,0.010532582,0.063757832,16.352679,61.330089,0.32401671,20.797894,0.0000060261431
"20155",20155,"fruits, légumes, légumineuses et oléagineux","légumes","Artichaut, coeur, appertisé, égoutté","Artichoke, heart, canned, drained","2",0,"Ambiant (long)","Acier","Pas de préparation",2.78,0.18886892,1.8404875,2.1358592e-7,0.2674794,0.0061977315,1.3499775e-7,3.1634036e-8,2.7009939e-9,0.014405139,0.00032348621,0.010532582,0.063757832,16.352679,61.330089,0.32401671,20.797894,0.0000060261431
"20052",20052,"fruits, légumes, légumineuses et oléagineux","légumes","Artichaut, cru","Artichoke, globe, raw","2",0,"Ambiant (moyen)","Pas d'emballage","Pas de préparation",2.43,0.35387889,3.8769291,4.2114027e-7,0.39486589,0.011112114,2.4920244e-7,6.7335486e-8,2.0300581e-9,0.027423458,0.00046764055,0.022339279,0.12657789,25.071458,134.51888,0.44435062,30.698526,0.000012383982
"20000",20000,"fruits, légumes, légumineuses et oléagineux","légumes","Artichaut, cuit","Artichoke, globe, cooked","2",0,"Ambiant (moyen)","PP","Cuisson à l'eau",3.08,0.12914324000000002,1.2506905,1.4077155e-7,0.30524617,0.0037397514,8.0196739e-8,2.0105567e-8,6.5128045e-10,0.0087502975,0.00012169724,0.0063994853,0.038089129,6.8262151,39.630254,0.28303671,20.167393,0.0000056645831
"20156",20156,"fruits, légumes, légumineuses et oléagineux","légumes","Artichaut, fond, appertisé, égoutté","Artichoke base, canned, drained","2",0,"Ambiant (long)","Acier","Pas de préparation",2.59,0.19957021,1.9608959,2.3172382e-7,0.29928637,0.0066048338,1.4126001e-7,3.2382778e-8,2.9876198e-9,0.014796507,0.0003520447,0.010683415,0.064858247,16.8677505,61.809503,0.35423298,22.910311,0.0000064664495
"20232",20232,"fruits, légumes, légumineuses et oléagineux","légumes","Artichaut, fond, surgelé, cru","Artichoke base, frozen, raw","2",0,"Congelé","LDPE","Pas de préparation",2.95,0.18769747,1.6110985,1.5482508e-7,0.65701517,0.0050438888,1.1616194e-7,3.0977476e-8,9.7755008e-10,0.013825975,0.0002497107,0.010232473,0.061184406,15.2734528,60.914683,0.43629698,26.736724,0.0000076901918
"20076",20076,"fruits, légumes, légumineuses et oléagineux","légumes","Asperge, appertisée, égouttée","Asparagus, canned, drained","2",0,"Ambiant (long)","Acier","Pas de préparation",2.63,0.19643111,1.1539228,1.7914622e-7,0.2062395,0.00473755,1.2477312e-7,7.3211297e-8,2.9220702e-9,0.015641542,0.0002746629,0.0096487105,0.06202894,27.9822256,133.92077,2.5748269,16.081358,0.0000094334584
"20282",20282,"fruits, légumes, légumineuses et oléagineux","légumes","Asperge, blanche ou violette, pelée, crue","Asparagus, white or purple, peeled, raw","2",0,"Ambiant (moyen)","Pas d'emballage","Pas de préparation",2.26,0.29795998,1.5593091,2.5898963e-7,0.22753996,0.0064892099,1.9099178e-7,1.2657627e-7,3.1877355e-9,0.025497825,0.0003151974,0.016294521,0.10321878,45.2065877,235.43917,4.4055215,18.581677,0.000015367453
"20001",20001,"fruits, légumes, légumineuses et oléagineux","légumes","Asperge, bouillie/cuite à l'eau","Asparagus, boiled/cooked in water","2",0,"Ambiant (moyen)","PP","Cuisson à l'eau",2.69,0.39026335,2.2459146,3.242347e-7,0.47964677,0.0085141673,2.3442016e-7,1.4890193e-7,3.8270794e-9,0.030855445,0.00040293497,0.019205228,0.12259196,53.4307606,275.09976,5.339203,35.500247,0.000020433961
"20073",20073,"fruits, légumes, légumineuses et oléagineux","légumes","Asperge, pelée, crue","Asparagus, peeled, raw","2",0,"Ambiant (moyen)","Pas d'emballage","Pas de préparation",2.26,0.29264626000000005,1.425378,2.580278e-7,0.22724075,0.0063532339,1.9003497e-7,1.2622048e-7,3.1696707e-9,0.025412204,0.00029212016,0.016138925,0.10285925,44.5911333,235.35814,4.4008721,18.498228,0.000015340352
"20279",20279,"fruits, légumes, légumineuses et oléagineux","légumes","Asperge, verte, crue","Asparagus, green, raw","2",0,"Ambiant (moyen)","Pas d'emballage","Pas de préparation",2.26,0.29795998,1.5593091,2.5898963e-7,0.22753996,0.0064892099,1.9099178e-7,1.2657627e-7,3.1877355e-9,0.025497825,0.0003151974,0.016294521,0.10321878,45.2065877,235.43917,4.4055215,18.581677,0.000015367453
"20053",20053,"fruits, légumes, légumineuses et oléagineux","légumes","Aubergine, crue","Eggplant, raw","2",0,"Ambiant (moyen)","Pas d'emballage","Pas de préparation",2.53,0.070759189,0.45710934,7.9572932e-8,0.093303525,0.0019359192,3.4580556e-8,6.9273408e-9,4.3806091e-10,0.0033756573,0.000071069475,0.0017907366,0.013786859,3.6556106999999995,9.7330041,2.9138405,7.301756,0.0000034148848
"20002",20002,"fruits, légumes, légumineuses et oléagineux","légumes","Aubergine, cuite","Eggplant, cooked","2",0,"Ambiant (moyen)","PP","Cuisson à l'eau",2.89,0.10894185,0.84432413,1.0421588e-7,0.26873293,0.0027632425,4.5629712e-8,8.5972221e-9,5.5957803e-10,0.0044602843,0.00010416385,0.0021306504,0.016618315,4.6711545,11.087047,3.3296804,17.67703,0.000005537077
